altitude_analysis,planting_system_analysis,average_productivity_analysis,minimum_temperature_analysis,maximum_temperature_analysis,rain_vegetative_analysis,rain_reproductive_analysis,ph_H2O_analysis,ph_CaCl2_analysis,clay_analysis,MO_analysis,CO_analysis,K_cmolc_analysis,Ca_analysis,Mg_analysis,Al_analysis,H_Al_analysis,P_meh_analysis,P_rem_analysis,Na_analysis,K_mg_analysis,S_SO4_analysis,B_analysis,Cu_analysis,Fe_analysis,Mn_analysis,Zn_analysis,pre_sowing_N_analysis_kg,pre_sowing_P2O5_analysis_kg,pre_sowing_K2O_analysis_kg,seeding_N_analysis_kg,seeding_P2O5_analysis_kg,seeding_K2O_analysis_kg,top_dressing_N_analysis_kg,top_dressing_P2O5_analysis_kg,top_dressing_K2O_analysis_kg
"781,00",PLANTIO DIRETO - SEQUEIRO,"93,20","16,00","33,00","174,20","1174,80","6,10","6,10","426,00","22,00","13,00","0,43","6,40","1,80","0,00","2,12","47,00","0,00","0,00","168,13","15,00","0,58","1,10","21,00","40,00","2,90",0.0,0.0,60.0,14.85,70.2,0.0,0.0,0.0,0.0
"702,00",PLANTIO DIRETO - SEQUEIRO,"87,00","10,00","36,00","134,00","339,00","5,50","5,50","739,00","35,00","20,00","0,67","6,60","1,20","0,00","3,12","57,00","0,00","0,00","261,97","15,00","0,90","7,00","40,00","2,10","202,00",0.0,0.0,0.0,17.75,74.55,17.75,0.0,0.0,54.0
"979,00",PLANTIO DIRETO - SEQUEIRO,"84,35","10,00","34,00","498,00","398,00","5,40","5,40","582,00","31,00","18,00","0,34","3,60","1,00","0,00","2,71","73,00","0,00","0,00","132,94","5,00","1,17","4,20","25,00","3,70","3,20",0.0,0.0,60.0,16.5,78.0,0.0,0.0,0.0,0.0
"886,00",CONVENCIONAL - SEQUEIRO,"91,00","17,30","30,00","529,00","594,00","5,90","5,90","500,00","22,00","0,00","0,61","4,90","2,00","0,00","1,53","17,00","0,00","0,00","238,51","14,00","1,15","5,10","11,00","1,30","2,90",0.0,0.0,108.0,18.0,93.60000000000001,0.0,0.0,0.0,0.0
"953,00",PLANTIO DIRETO - SEQUEIRO,"92,00","16,80","30,90","352,00","402,50","5,20","5,20","491,00","36,00","0,00","0,18","1,80","0,60","0,00","3,82","28,00","0,00","0,00","70,38","51,00","0,39","3,10","30,00","1,70","1,80",0.0,0.0,81.6,18.0,90.0,0.0,0.0,0.0,0.0
"873,00",PLANTIO DIRETO - IRRIGADO,"81,00","13,00","37,00","270,00","244,00","5,40","5,40","514,00","21,00","0,00","0,59","3,70","2,00","0,00","3,82","64,00","0,00","0,00","230,69","31,00","0,76","1,30","29,00","1,60","1,20",30.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,117.74
"675,00",PLANTIO DIRETO - IRRIGADO,"82,00","15,00","35,00","520,60","448,40","6,30","6,30","567,00","20,00","12,00","0,42","6,00","1,90","0,00","1,62","41,00","0,00","0,00","164,22","36,00","0,74","2,10","8,00","2,60","1,70",0.0,0.0,0.0,15.3,70.38000000000001,0.0,55.2,0.0,72.0
"33,00",CONVENCIONAL - IRRIGADO,"95,00","9,00","39,00","77,35","398,38","4,70","4,70","130,00","17,00","14,00","0,28","2,10","0,80","0,30","2,93","17,00","0,00","0,00","109,48","10,00","0,10","1,00","115,00","37,00","0,80",0.0,0.0,0.0,12.96,64.8,0.0,0.0,0.0,115.8
"790,00",CONVENCIONAL - IRRIGADO,"92,00","12,00","32,00","348,00","298,00","5,60","5,60","352,00","34,00","20,00","0,50","3,90","1,20","0,00","2,52","72,00","0,00","0,00","195,50","8,00","0,86","0,80","30,00","1,90","1,80",0.0,0.0,0.0,39.0,99.0,0.0,0.0,0.0,120.0
"938,00",PLANTIO DIRETO - SEQUEIRO,"88,00","18,00","30,00","608,60","677,60","4,70","4,70","346,00","19,00","0,00","0,47","2,00","0,60","0,00","4,02","19,00","0,00","0,00","183,77","21,00","1,06","1,70","20,00","2,20","1,20",0.0,0.0,0.0,18.0,135.0,72.0,0.0,0.0,43.2
